roi,r,p,metric
7Networks_LH_DorsAttn_FEF_2,0.5360582785101776,0.1102141821077884,Views
7Networks_LH_DorsAttn_FEF_3,0.5370998909076518,0.10939147367585435,Views
7Networks_LH_DorsAttn_FEF_4,0.5393807856104046,0.10760344548376945,Views
7Networks_LH_DorsAttn_PrCv_1,0.33301379526410296,0.3470846062214052,Views
7Networks_LH_DorsAttn_PrCv_2,0.5562165979557006,0.09497492594818371,Views
7Networks_LH_SalVentAttn_ParOper_1,0.12915644332479412,0.7221362836324858,Views
7Networks_LH_SalVentAttn_ParOper_2,0.24500878423399447,0.4950741580158032,Views
7Networks_LH_SalVentAttn_ParOper_3,0.5895734292503924,0.07284359645269325,Views
7Networks_LH_SalVentAttn_ParOper_4,0.3504090143392627,0.3208673785575802,Views
7Networks_LH_SalVentAttn_TempOcc_1,0.42624106154840363,0.2193305513654421,Views
7Networks_LH_SalVentAttn_FrOperIns_1,-0.4995606809563553,0.14151906377352777,Views
7Networks_LH_SalVentAttn_FrOperIns_2,-0.4186506335264794,0.22853713891179522,Views
7Networks_LH_SalVentAttn_FrOperIns_3,-0.59826957989216,0.06768512718949793,Views
7Networks_LH_SalVentAttn_FrOperIns_4,-0.470136274550591,0.17032853724341035,Views
7Networks_LH_SalVentAttn_FrOperIns_5,-0.5594409841204248,0.09266962836960099,Views
7Networks_LH_SalVentAttn_FrOperIns_6,-0.1980791984895758,0.5833058932819413,Views
7Networks_LH_SalVentAttn_FrOperIns_7,-0.36469743838466057,0.3001323835567826,Views
7Networks_LH_SalVentAttn_FrOperIns_8,-0.049710590644961875,0.8915264015837612,Views
7Networks_LH_SalVentAttn_FrOperIns_9,0.11476220554342112,0.7522379488009665,Views
7Networks_LH_SalVentAttn_PFCl_1,-0.05825117950669366,0.8730070419063634,Views
7Networks_LH_SalVentAttn_Med_1,-0.12477410476805172,0.7312664389392654,Views
7Networks_LH_SalVentAttn_Med_2,0.43123187241467764,0.21339467647369997,Views
7Networks_LH_SalVentAttn_Med_3,0.3610744146634101,0.3053209658576871,Views
7Networks_LH_SalVentAttn_Med_4,0.3759625256937692,0.28430200386570703,Views
7Networks_LH_SalVentAttn_Med_5,0.33872571636912086,0.33835930503510325,Views
7Networks_LH_SalVentAttn_Med_6,0.3486841500434862,0.323419580707444,Views
7Networks_LH_SalVentAttn_Med_7,0.4913503080039068,0.14923400801237818,Views
7Networks_LH_Limbic_OFC_1,-0.3058114417697284,0.3901669492513269,Views
7Networks_LH_Limbic_OFC_2,0.30620669886153734,0.3895231837729495,Views
7Networks_LH_Limbic_OFC_3,0.6471085742645105,0.043128625456332906,Views
7Networks_LH_Limbic_OFC_4,0.6186798899270145,0.05653148196178914,Views
7Networks_LH_Limbic_OFC_5,-0.23122078492501819,0.5203895153122772,Views
7Networks_LH_Limbic_TempPole_1,0.5311077000372737,0.1141774297060674,Views
7Networks_LH_Limbic_TempPole_2,0.5987212984613604,0.06742389800096611,Views
7Networks_LH_Limbic_TempPole_3,0.21975489904474774,0.541835974493519,Views
7Networks_LH_Limbic_TempPole_4,0.7276918463204813,0.01705231826763169,Views
7Networks_LH_Limbic_TempPole_5,0.45284418397378207,0.18876881568489462,Views
7Networks_LH_Limbic_TempPole_6,0.6327853485232178,0.04957988731585633,Views
7Networks_LH_Limbic_TempPole_7,0.4158811789446907,0.2319499123202508,Views
7Networks_LH_Limbic_TempPole_8,0.10019434755974188,0.7830119222152596,Views
